domain,political_label,NG_score,diversity,diversity_qn,partisanship_mean,partisanship_median,broadcasters_gini_all,broadcasters_gini_left,broadcasters_gini_right,broadcasters_gini_minima,broadcasters_inequality_all,broadcasters_inequality_left,broadcasters_inequality_right,broadcasters_inequality_minima,article_gini_all,article_gini_left,article_gini_right,article_gini_minima,article_inequality_all,article_inequality_left,article_inequality_right,article_inequality_minima,centrality_degree_all,centrality_degree_left,centrality_degree_right,centrality_degree_minima,centrality_eigen-vector_all,centrality_eigen-vector_left,centrality_eigen-vector_right,centrality_eigen-vector_minima,centrality_page-rank_all,centrality_page-rank_left,centrality_page-rank_right,centrality_page-rank_minima,centrality_harmonic_all,centrality_harmonic_left,centrality_harmonic_right,centrality_harmonic_minima,centrality_closeness_all,centrality_closeness_left,centrality_closeness_right,centrality_closeness_minima,centrality_betweenness_all,centrality_betweenness_left,centrality_betweenness_right,centrality_betweenness_minima,broadcasts_num_all,broadcasts_num_left,broadcasts_num_right,broadcasts_num-log_all,broadcasts_num-log_left,broadcasts_num-log_right,broadcasters_num_all,broadcasters_num_left,broadcasters_num_right,broadcasters_num-log_all,broadcasters_num-log_left,broadcasters_num-log_right,broadcasts_prop-left,broadcasts_prop-right,broadcasters_prop-left,broadcasters_prop-right
nymag.com,left,82.5,0.122073323774619,0.3123240359534552,-0.3349974832271489,-0.45,0.4636045993888781,0.444383327221611,0.5437133844073907,0.444383327221611,0.6303971411513404,0.5448562197260189,0.810427443301225,0.5448562197260189,0.5787068768135221,0.5259916821762612,0.6797611905328217,0.5259916821762612,0.5787068768135221,0.5259916821762612,0.6797611905328217,0.5259916821762612,0.499047619047619,0.9713983050847458,0.9713983050847458,0.9713983050847458,0.0380402921551248,0.0380621151500726,0.0380408125413757,0.0380408125413757,0.0008975822891257,0.001029389068423,0.0010265382981525,0.0010265382981525,1861.0,1861.0,1861.0,1861.0,0.4994562026664424,0.972193614830072,0.972193614830072,0.972193614830072,0.0003983653782343,0.0015175233733282,0.0015102415207459,0.0015102415207459,1942,1620.0,317.0,7.571473648851271,7.390181428226429,5.75890177387728,606,505.0,98.0,6.406879986069314,6.22455842927536,4.584967478670572,0.8341915550978373,0.1632337796086508,0.8333333333333334,0.1617161716171617
si.com,left,82.5,0.1908060828522023,0.7703296586966556,-0.0884184786275644,-0.2080994386527666,0.4710916958808063,0.4943887913525423,0.4234848484848485,0.4234848484848485,0.6401619806056668,0.6860535144307581,0.4864612511671335,0.4864612511671335,0.4711826323313524,0.5298001248921494,0.1856439704675964,0.1856439704675964,0.4711826323313524,0.5298001248921494,0.1856439704675964,0.1856439704675964,0.430204081632653,0.8373940677966102,0.8373940677966102,0.8373940677966102,0.0345115873790889,0.0345440516153132,0.0345125427505867,0.0345125427505867,0.0007752984103084,0.000888961842781,0.0008866434750496,0.0008866434750496,1734.5,1734.5,1734.5,1734.5,0.4418879023135449,0.8601366742596811,0.8601366742596811,0.8601366742596811,0.0002412499185458,0.0009181467770473,0.0009146074728439,0.0009146074728439,652,421.0,220.0,6.480044561926653,6.042632833682381,5.393627546352362,224,138.0,84.0,5.41164605185504,4.927253685157205,4.430816798843313,0.6457055214723927,0.3374233128834356,0.6160714285714286,0.375
usatoday.com,left,100.0,0.2083214105136941,0.8377270359093661,-0.1479764463695327,-0.314751552795031,0.4924285959627985,0.485571624219054,0.4935993639495702,0.485571624219054,0.5976669733000535,0.5685990961873428,0.650714805907446,0.5685990961873428,0.731725677873383,0.710790464007088,0.6174694826132459,0.6174694826132459,0.731725677873383,0.710790464007088,0.6174694826132459,0.6174694826132459,0.5137414965986394,1.0,1.0,1.0,0.038587156055715,0.0385986365764732,0.0385877112107935,0.0385877112107935,0.0009261393933441,0.0010624751254833,0.001059165595038,0.001059165595038,1888.0,1888.0,1888.0,1888.0,0.5137414965986394,1.0,1.0,1.0,0.0004543675029931,0.0017348691461175,0.0017224837009929,0.0017224837009929,4980,3448.0,1525.0,8.513185170018698,8.145549631783584,7.329749689041512,1216,781.0,433.0,7.103322062526113,6.660575149839686,6.07073772800249,0.6923694779116466,0.3062248995983935,0.6422697368421053,0.3560855263157895
atlasobscura.com,left,87.5,0.1457454331506288,0.39451457173068,-0.3454691311555875,-0.4444444444444444,0.290551839464883,0.2442381562099872,0.3857142857142857,0.2442381562099872,0.3217948717948717,0.2098746081504703,0.3920972644376898,0.2098746081504703,0.1938405797101449,0.1947042253521126,0.1666666666666666,0.1666666666666666,0.1938405797101449,0.1947042253521126,0.1666666666666666,0.1666666666666666,0.299047619047619,0.5820974576271186,0.5820974576271186,0.5820974576271186,0.0265882856518887,0.0266250793784509,0.0265898775358208,0.0265898775358208,0.0005497786010071,0.0006300033174038,0.000628579525282,0.000628579525282,1493.5,1493.5,1493.5,1493.5,0.3623249703318009,0.7052670900261486,0.7052670900261486,0.7052670900261486,6.835299071620593e-05,0.0002595892566194,0.0002591667220262,0.0002591667220262,92,71.0,20.0,4.5217885770490405,4.262679877041316,2.995732273553991,52,44.0,7.0,3.951243718581428,3.784189633918261,1.9459101490553128,0.7717391304347826,0.217391304347826,0.8461538461538461,0.1346153846153846
huffingtonpost.co.uk,left,87.5,0.1343442927641005,0.2773930582481345,-0.2736350089061192,-0.3670033670033669,0.3999324324324324,0.2535021551724138,0.6168478260869565,0.2535021551724138,0.7959883166428231,0.2382246376811594,0.8365939044481054,0.2382246376811594,0.1762564857120731,0.2307752667922159,0.0473684210526315,0.0473684210526315,0.1762564857120731,0.2307752667922159,0.0473684210526315,0.0473684210526315,0.3553741496598639,0.6917372881355932,0.6917372881355932,0.6917372881355932,0.0297879302215301,0.0298140395200176,0.0297891311018729,0.0297891311018729,0.0006484596516054,0.000743306535083,0.0007414666650926,0.0007414666650926,1597.0,1597.0,1597.0,1597.0,0.3926898565094053,0.7643724696356275,0.7643724696356275,0.7643724696356275,0.0001382529083402,0.000526163862672,0.0005241353824244,0.0005241353824244,185,116.0,69.0,5.220355825078324,4.7535901911063645,4.23410650459726,80,64.0,16.0,4.382026634673881,4.158883083359672,2.772588722239781,0.6270270270270271,0.372972972972973,0.8,0.2
thriveglobal.com,left,72.5,0.1115967523562956,0.3013928600683957,-0.2505647426410958,-0.2958241758241758,0.3487654320987654,0.3583426651735722,0.1714285714285714,0.1714285714285714,0.3985148514851485,0.3912923670432626,0.109090909090909,0.109090909090909,0.4098464317976513,0.3670204081632653,0.0721804511278195,0.0721804511278195,0.4098464317976513,0.3670204081632653,0.0721804511278195,0.0721804511278195,0.2389115646258503,0.4650423728813559,0.4650423728813559,0.4650423728813559,0.0219487351251243,0.0219922121426405,0.0219508769085645,0.0219508769085645,0.0004512519200303,0.0005168569657001,0.0005157987459196,0.0005157987459196,1383.0,1383.0,1383.0,1383.0,0.3346942531325849,0.6514837819185645,0.6514837819185645,0.6514837819185645,3.492195044130545e-05,0.000132385140303,0.0001323862821012,0.000132385140303,54,47.0,7.0,3.9889840465642745,3.8501476017100575,1.9459101490553128,24,19.0,5.0,3.1780538303479458,2.9444389791664403,1.6094379124341005,0.8703703703703703,0.1296296296296296,0.7916666666666666,0.2083333333333333
dailyvoice.com,right,80.0,0.2730253949514201,0.4351263658794267,0.0508389620261578,0.3333333333333333,0.5493230174081238,0.5629629629629629,0.4833333333333333,0.4833333333333333,0.648304410125776,0.6469733656174335,0.5780590717299579,0.5780590717299579,0.1409229068803537,0.0181691125087351,0.1333333333333333,0.0181691125087351,0.1409229068803537,0.0181691125087351,0.1333333333333333,0.0181691125087351,0.1156462585034013,0.2251059322033898,0.2251059322033898,0.2251059322033898,0.0118484742680285,0.0118518360319638,0.0118501620621011,0.0118501620621011,0.000252245693279,0.0002886766268683,0.0002879831799504,0.0002879831799504,1156.5,1156.5,1156.5,1156.5,0.2894491034253152,0.5634139062966279,0.5634139062966279,0.5634139062966279,4.1131977205281725e-06,1.5999014372373406e-05,1.5589863460370884e-05,1.5589863460370884e-05,47,27.0,20.0,3.8501476017100575,3.295836866004329,2.995732273553991,11,5.0,6.0,2.3978952727983707,1.6094379124341005,1.791759469228055,0.574468085106383,0.425531914893617,0.4545454545454545,0.5454545454545454
adweek.com,left,87.5,0.1861172525721097,0.3807584715321763,-0.074451371486903,-0.2352941176470588,0.6830028681880533,0.7388027562446167,0.430976430976431,0.430976430976431,0.9270347366255376,0.9219977500703104,0.639443770003311,0.639443770003311,0.3303896867388931,0.3084919376156489,0.2560975609756097,0.2560975609756097,0.3303896867388931,0.3084919376156489,0.2560975609756097,0.2560975609756097,0.3561904761904761,0.6933262711864406,0.6933262711864406,0.6933262711864406,0.0301671997976508,0.0301880055414825,0.0301689983635503,0.0301689983635503,0.0006475462331277,0.0007424715238121,0.0007404416693218,0.0007404416693218,1598.5,1598.5,1598.5,1598.5,0.393167387749587,0.7653019862180787,0.7653019862180787,0.7653019862180787,0.0001295345197167,0.0004944354510383,0.0004910308650541,0.0004910308650541,486,387.0,99.0,6.186208623900494,5.958424693029782,4.59511985013459,99,60.0,39.0,4.59511985013459,4.0943445622221,3.6635616461296463,0.7962962962962963,0.2037037037037037,0.6060606060606061,0.3939393939393939
yahoo.com,left,100.0,0.2181732065773078,0.803118949594599,-0.1008603936857199,-0.2564102564102564,0.7631774639390385,0.7879716629994071,0.7031683715786563,0.7031683715786563,0.9901236998098776,0.9909468375918924,0.9779894417302126,0.9779894417302126,0.6782027532320873,0.7208627527283591,0.4126966479282034,0.4126966479282034,0.6782027532320873,0.7208627527283591,0.4126966479282034,0.4126966479282034,0.5137414965986394,1.0,1.0,1.0,0.038587156055715,0.0385986365764732,0.0385877112107935,0.0385877112107935,0.0009261393933441,0.0010624751254833,0.001059165595038,0.001059165595038,1888.0,1888.0,1888.0,1888.0,0.5137414965986394,1.0,1.0,1.0,0.0004543675029931,0.0017348691461175,0.0017224837009929,0.0017224837009929,12109,8487.0,3617.0,9.401704256754366,9.046290859969677,8.193400231952097,1301,774.0,525.0,7.170888478512505,6.651571873589727,6.263398262591624,0.7008836402675696,0.2987034437195474,0.5949269792467333,0.4035357417371253
brightside.me,left,77.5,0.1534794813177978,0.6429521263610816,-0.1444439595097489,-0.1805896805896805,0.28,0.3047619047619047,0.1333333333333333,0.1333333333333333,0.2307692307692307,0.2524916943521594,0.074074074074074,0.074074074074074,0.325531914893617,0.225624496373892,0.0432900432900432,0.0432900432900432,0.325531914893617,0.225624496373892,0.0432900432900432,0.0432900432900432,0.1676190476190476,0.326271186440678,0.326271186440678,0.326271186440678,0.0160044374290525,0.0160326199049221,0.016006017452559,0.016006017452559,0.0003374138808341,0.0003862277946882,0.0003854619786861,0.0003854619786861,1252.0,1252.0,1252.0,1252.0,0.3069442865753896,0.5974683544303797,0.5974683544303797,0.5974683544303797,1.5301560757603744e-05,5.803401708854449e-05,5.799860002450728e-05,5.799860002450728e-05,20,15.0,5.0,2.995732273553991,2.70805020110221,1.6094379124341005,10,7.0,3.0,2.302585092994046,1.9459101490553128,1.0986122886681098,0.75,0.25,0.7,0.3
